App/Platform Name,Publisher Name,Type,Site Rating (gray or white),Category,Behavioral Keywords,Market Requests,Audience
cooksimply.co.uk,,Digital Video,white,Food & Recipes,"Streaming, Digital Video",16071140,UK General Market
bakingwithgranny.co.uk,,Digital Video,white,Food & Recipes,"Streaming, Digital Video",15589279,UK General Market
www.stourbridgenews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",15455868,UK General Market
www.rmweb.co.uk,,Digital Video,white,Forums & Communities,"Streaming, Digital Video",15367602,UK General Market
www.belfasttelegraph.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",15207890,UK General Market
www.gazetteseries.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",14599720,UK General Market
www.sloughobserver.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",14577384,UK General Market
www.bracknellnews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",14545291,UK General Market
www.lowestoftjournal.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",14473568,UK General Market
www.craftsonsea.co.uk,,Digital Video,white,Parenting & Family,"Streaming, Digital Video",14432434,UK General Market
www.reed.co.uk,,Digital Video,white,"Business, Finance & Jobs","Streaming, Digital Video",14399007,UK General Market
www.yourweather.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",14309259,UK General Market
ibtimes.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",14020182,UK General Market
www.mbr.co.uk,,Digital Video,white,Auto & Motoring,"Streaming, Digital Video",14000798,UK General Market
propertytorenovate.co.uk,,Digital Video,white,"Home, Garden & Property","Streaming, Digital Video",13826049,UK General Market
www.miltonkeynes.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",13792905,UK General Market
www.hamhigh.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",13681285,UK General Market
www.wiltsglosstandard.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",13551024,UK General Market
www.thewestonmercury.co.uk,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",13317461,UK General Market
www.birminghamworld.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",13251834,UK General Market
www.keighleynews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",13187351,UK General Market
www.bordercountiesadvertizer.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",13128773,UK General Market
fanbanter.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",12457016,UK General Market
lianaskitchen.co.uk,,Digital Video,white,Food & Recipes,"Streaming, Digital Video",12444015,UK General Market
www.northwaleschronicle.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",12399737,UK General Market
www.cravenherald.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",12366262,UK General Market
www.whitehavennews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",12321328,UK General Market
www.honestjohn.co.uk,,Digital Video,white,Auto & Motoring,"Streaming, Digital Video",12269604,UK General Market
www.clydebankpost.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",12186049,UK General Market
www.wiltshire999s.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",12144374,UK General Market
www.braintreeandwithamtimes.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",11982994,UK General Market
www.malverngazette.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",11959037,UK General Market
www.bridgwatermercury.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",11945983,UK General Market
sandhyahariharan.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",11787997,UK General Market
www.autocar.co.uk,,Digital Video,white,Auto & Motoring,"Streaming, Digital Video",11690372,UK General Market
www.gamemaps.co.uk,,Digital Video,white,Games & Puzzles,"Streaming, Digital Video",11662535,UK General Market
www.petforums.co.uk,,Digital Video,white,Forums & Communities,"Streaming, Digital Video",11621878,UK General Market
www.whtimes.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",11583623,UK General Market
www.wakefieldexpress.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",11531671,UK General Market
www.lynnnews.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",11505873,UK General Market
housesforsaletorent.co.uk,,Digital Video,white,"Home, Garden & Property","Streaming, Digital Video",11412846,UK General Market
www.halesowennews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",11359739,UK General Market
www.andoveradvertiser.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",11179803,UK General Market
www.timesandstar.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",11157461,UK General Market
www.ispreview.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",11116060,UK General Market
www.broadbandspeedchecker.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",11055188,UK General Market
www.lutontoday.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",10863678,UK General Market
